date,semester,rank,team,acronym,total.points,previous.points,diff.points
2010,2,175,British Virgin Islands,VGB,41.0,41.0,0.0
2010,2,176,Solomon Islands,SOL,40.0,40.0,0.0
2010,2,176,Eritrea,ERI,40.0,81.0,-41.0
2010,2,176,Palestine,PLE,40.0,40.0,0.0
2010,2,179,Mauritania,MTN,38.0,38.0,0.0
2010,2,180,St. Lucia,LCA,37.0,37.0,0.0
2010,2,181,Somalia,SOM,32.0,39.0,-7.0
2010,2,181,Mongolia,MNG,32.0,32.0,0.0
2010,2,183,Tahiti,TAH,31.0,31.0,0.0
2010,2,184,Samoa,SAM,26.0,26.0,0.0
2010,2,185,Comoros,COM,24.0,24.0,0.0
2010,2,186,Turks and Caicos Islands,TCA,19.0,19.0,0.0
2010,2,187,Cook Islands,COK,17.0,17.0,0.0
2010,2,187,Guam,GUM,17.0,17.0,0.0
2010,2,187,Tonga,TGA,17.0,17.0,0.0
2010,2,190,Djibouti,DJI,16.0,20.0,-4.0
2010,2,190,Mauritius,MRI,16.0,16.0,0.0
2010,2,192,Macau,MAC,14.0,12.0,2.0
2010,2,193,Bahamas,BAH,13.0,13.0,0.0
2010,2,194,Seychelles,SEY,10.0,10.0,0.0
2010,2,194,Afghanistan,AFG,10.0,10.0,0.0
2010,2,196,Bhutan,BHU,9.0,9.0,0.0
2010,2,196,Brunei Darussalam,BRU,9.0,9.0,0.0
2010,2,198,Aruba,ARU,7.0,7.0,0.0
2010,2,199,US Virgin Islands,VIR,5.0,5.0,0.0
2010,2,200,Timor-Leste,TLS,3.0,3.0,0.0
2010,2,201,Andorra,AND,2.0,2.0,0.0
2010,2,202,San Marino,SMR,0.0,0.0,0.0
2010,2,202,American Samoa,ASA,0.0,0.0,0.0
2010,2,202,Montserrat,MSR,0.0,0.0,0.0
2010,2,202,Papua New Guinea,PNG,0.0,0.0,0.0
2010,2,202,Anguilla,AIA,0.0,0.0,0.0
2010,2,202,Sao Tome e Principe,STP,0.0,0.0,0.0
